arm,iteration,wall_s,queries,hits,hit_rate,n_calls_in_iter,best_score
vanilla,1,7.892,3248,368,0.1133,1,0.36423689449571406
vanilla,2,7.663,3253,1696,0.5214,1,0.36423689449571406
vanilla,3,6.659,4995,512,0.1025,1,0.36423689449571406
vanilla,4,7.957,4591,384,0.0836,1,0.36423689449571406
vanilla,5,5.300,5235,720,0.1375,1,0.36423689449571406
vanilla,6,8.590,4515,384,0.0850,1,0.36423689449571406
batched,1,10.684,25984,23072,0.8879,8,0.36423689449571406
batched,2,10.486,26024,24432,0.9388,8,0.419975766796236
batched,3,14.521,40672,35888,0.8824,8,0.419975766796236
batched,4,13.397,42232,37232,0.8816,8,0.419975766796236
batched,5,13.520,43328,38352,0.8852,8,0.419975766796236
batched,6,14.917,44168,39024,0.8835,8,0.49163987536707277
all_optims,1,101.577,25984,23072,0.8879,8,0.47101568346391787
all_optims,2,12.315,31632,28176,0.8907,8,0.47101568346391787
all_optims,3,0.071,0,0,0.0000,0,0.47101568346391787
all_optims,4,0.069,0,0,0.0000,0,0.47101568346391787
all_optims,5,0.050,0,0,0.0000,0,0.47101568346391787
all_optims,6,104.756,47696,42048,0.8816,8,0.47101568346391787
