N_concurrent,arm,K,N_iter,wall_s,n_calls,hit_rate,throughput_calls_per_s,vllm:prefix_cache_queries_total,vllm:prefix_cache_hits_total,vllm:prompt_tokens_total,vllm:generation_tokens_total,vllm:request_success_total
1,vanilla,1,2,16.192,2,0.3163,0.124,6525.0,2064.0,6525.0,3178.0,2.0
1,batched,8,2,22.753,16,0.9148,0.703,51560.0,47168.0,51560.0,23328.0,16.0
1,batched_speculative,8,2,26.056,24,0.9727,0.921,104480.0,101632.0,104480.0,39612.0,24.0
2,vanilla,1,2,20.282,12,0.4573,0.592,16094.0,7360.0,16094.0,18390.0,12.0
2,batched,8,2,29.645,32,0.9010,1.079,130080.0,117200.0,130080.0,47761.0,32.0
2,batched_speculative,8,2,33.486,48,0.9571,1.433,258624.0,247520.0,258624.0,71185.0,48.0
4,vanilla,1,2,27.419,23,0.2371,0.839,31312.0,7424.0,31312.0,32008.0,23.0
4,batched,8,2,42.552,64,0.8943,1.504,264824.0,236832.0,264824.0,101188.0,64.0
4,batched_speculative,8,2,59.758,99,0.9479,1.657,543936.0,515616.0,543936.0,170835.0,99.0
8,vanilla,1,2,30.946,42,0.1664,1.357,54433.0,9056.0,54433.0,48994.0,42.0
8,batched,8,2,68.929,128,0.9036,1.857,523832.0,473312.0,523832.0,187862.0,128.0
8,batched_speculative,8,2,143.162,244,0.9486,1.704,1066160.0,1011312.0,1066160.0,391180.0,244.0
