arm,K,N,seed,best,wall_s,misses,cache_hits,shared_hits,peak_kv,total_blocks_seen
A,1,20,101,-69.101516,6.8054,352,2868,0,352,3220
B,1,20,101,-69.101516,6.8042,352,2868,0,352,3220
A,1,20,202,-17.095125,6.8057,353,2867,0,353,3220
B,1,20,202,-17.095125,6.8057,353,2867,0,353,3220
A,1,20,303,-90.588683,6.8026,350,2870,0,350,3220
B,1,20,303,-90.588683,6.8019,350,2870,0,350,3220
A,1,20,404,-76.889938,6.8004,349,2871,0,349,3220
B,1,20,404,-76.889938,6.8012,349,2871,0,349,3220
A,1,20,505,-24.722146,6.8082,355,2865,0,355,3220
B,1,20,505,-24.722146,6.8075,355,2865,0,355,3220
A,4,20,101,-37.618957,6.8264,962,11468,450,962,12880
B,4,20,101,-42.640288,6.8699,457,11456,1131,457,13044
C,4,20,101,-46.896442,6.8578,648,11468,872,648,12988
A,4,20,202,-17.095125,6.8300,965,11465,450,965,12880
B,4,20,202,-17.095125,6.8667,454,11468,1122,454,13044
C,4,20,202,-17.095125,6.8599,651,11462,875,651,12988
A,4,20,303,-40.464902,6.8287,957,11473,450,957,12880
B,4,20,303,-77.411043,6.8668,453,11472,1119,453,13044
C,4,20,303,-40.464902,6.8582,648,11468,872,648,12988
A,4,20,404,-35.276505,6.8260,954,11476,450,954,12880
B,4,20,404,-53.620502,6.8708,455,11464,1125,455,13044
C,4,20,404,-27.102441,6.8581,649,11466,873,649,12988
A,4,20,505,-24.722146,6.8291,968,11462,450,968,12880
B,4,20,505,-41.434823,6.8716,459,11448,1137,459,13044
C,4,20,505,-22.353685,6.8596,652,11460,876,652,12988
A,8,20,101,-27.977901,6.8793,1777,22933,1050,1777,25760
B,8,20,101,-32.263241,6.9253,545,22896,2695,545,26136
C,8,20,101,-33.931662,6.9023,764,22912,2412,764,26088
A,8,20,202,-17.095125,6.8640,1774,22936,1050,1774,25760
B,8,20,202,-15.495173,6.9233,541,22928,2667,541,26136
C,8,20,202,-17.095125,6.9055,763,22916,2409,763,26088
A,8,20,303,-21.008590,6.8617,1776,22934,1050,1776,25760
B,8,20,303,-61.979070,6.9302,544,22904,2688,544,26136
C,8,20,303,-29.855164,6.9041,756,22944,2388,756,26088
A,8,20,404,-22.692163,6.8561,1773,22937,1050,1773,25760
B,8,20,404,-33.845929,6.9281,544,22904,2688,544,26136
C,8,20,404,-38.067872,6.9028,761,22924,2403,761,26088
A,8,20,505,-24.722146,6.8599,1778,22932,1050,1778,25760
B,8,20,505,-24.365202,6.9248,542,22920,2674,542,26136
C,8,20,505,-41.434823,6.9058,763,22916,2409,763,26088
A,16,20,101,-27.977901,6.9890,3402,45868,2250,3402,51520
B,16,20,101,-17.175580,7.0307,709,45776,5835,709,52320
C,16,20,101,-29.682309,7.0171,1373,45844,4959,1373,52176
A,16,20,202,-17.095125,6.9828,3404,45866,2250,3404,51520
B,16,20,202,-11.358961,7.0284,706,45824,5790,706,52320
C,16,20,202,-17.095125,7.0092,1373,45844,4959,1373,52176
A,16,20,303,-12.347264,6.9563,3397,45873,2250,3397,51520
B,16,20,303,-25.770521,7.0405,713,45712,5895,713,52320
C,16,20,303,-22.642404,7.0217,1366,45872,4938,1366,52176
A,16,20,404,-22.692163,6.9871,3394,45876,2250,3394,51520
B,16,20,404,-38.107079,7.0307,704,45856,5760,704,52320
C,16,20,404,-20.815759,7.0067,1368,45864,4944,1368,52176
A,16,20,505,-24.722146,6.9722,3406,45864,2250,3406,51520
B,16,20,505,-29.346366,7.0289,704,45856,5760,704,52320
C,16,20,505,-28.323100,7.0156,1376,45832,4968,1376,52176
